,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
328,Kaeo,-35.1,173.7833,68.32,92,100,7.61,NZ,1638609524
329,Mvomero,-6.25,38.6667,87.78,52,42,5.88,TZ,1638609684
330,Vila Velha,-20.3297,-40.2925,69.94,94,40,2.3,BR,1638609515
331,Kuala Terengganu,5.3302,103.1408,82.35,74,40,9.22,MY,1638609684
332,Pacific Grove,36.6177,-121.9166,54.43,83,90,3.0,US,1638609684
333,Bambous Virieux,-20.3428,57.7575,84.45,65,75,11.5,MU,1638609492
334,São Francisco,-15.9486,-44.8644,68.13,96,33,2.95,BR,1638609684
335,Souillac,-20.5167,57.5167,84.58,65,75,11.5,MU,1638609497
336,Santa Cruz de Barahona,18.2085,-71.1008,74.91,84,98,3.94,DO,1638609684
337,Ilulissat,69.2167,-51.1,21.22,42,100,11.5,GL,1638609498
338,Baturaja,-4.1333,104.1667,77.31,94,100,2.35,ID,1638609684
339,Calvinia,-31.4707,19.776,55.22,94,93,9.22,ZA,1638609685
340,Half Moon Bay,37.4636,-122.4286,55.26,86,90,4.61,US,1638609517
341,Beyşehir,37.6773,31.7246,46.54,85,100,7.56,TR,1638609685
342,Margate,51.3813,1.3862,44.31,94,100,4.0,GB,1638609509
343,Naryan-Mar,67.6713,53.087,-14.51,100,26,2.39,RU,1638609685
344,Zonguldak,41.25,31.8333,59.85,52,80,5.17,TR,1638609685
345,Graciano Sánchez,23.9167,-99.2833,67.17,73,0,3.13,MX,1638609685
346,Black River,18.0264,-77.8487,78.8,85,100,4.9,JM,1638609685
347,Maungatapere,-35.75,174.2,67.08,93,100,3.2,NZ,1638609685
348,Kutum,14.2,24.6667,77.97,19,0,7.92,SD,1638609512
349,Maţāy,28.419,30.7792,69.42,35,100,5.23,EG,1638609685
350,Comodoro Rivadavia,-45.8667,-67.5,58.86,29,0,4.61,AR,1638609529
